colName,Language,Gender,Component
SEO_Males,English Only,Male,Yes
SEO_Females,English Only,Female,Yes
SEO_Persons,English Only,All,Yes
SOL_Arabic_M,Arabic,Male,Yes
SOL_Arabic_F,Arabic,Female,Yes
SOL_Arabic_P,Arabic,All,Yes
SOL_Assyrian_M,Assyrian,Male,Yes
SOL_Assyrian_F,Assyrian,Female,Yes
SOL_Assyrian_P,Assyrian,All,Yes
SOL_Aus_Indig_Lang_M,Aboriginal,Male,Yes
SOL_Aus_Indig_Lang_F,Aboriginal,Female,Yes
SOL_Aus_Indig_Lang_P,Aboriginal,All,Yes
SOL_Chin_lang_Cant_M,Cantonese,Male,Yes
SOL_Chin_lang_Cant_F,Cantonese,Female,Yes
SOL_Chin_lang_Cant_P,Cantonese,All,Yes
SOL_Chin_lang_Mand_M,Mandarin,Male,Yes
SOL_Chin_lang_Mand_F,Mandarin,Female,Yes
SOL_Chin_lang_Mand_P,Mandarin,All,Yes
SOL_Chin_lang_Other_M,Other Chinese,Male,Yes
SOL_Chin_lang_Other_F,Other Chinese,Female,Yes
SOL_Chin_lang_Other_P,Other Chinese,All,Yes
SOL_Chin_lang_Tot_M,Chinese Total,Male,No
SOL_Chin_lang_Tot_F,Chinese Total,Female,No
SOL_Chin_lang_Tot_P,Chinese Total,All,No
SOL_Croatian_M,Croatian,Male,Yes
SOL_Croatian_F,Croatian,Female,Yes
SOL_Croatian_P,Croatian,All,Yes
SOL_Dutch_M,Dutch,Male,Yes
SOL_Dutch_F,Dutch,Female,Yes
SOL_Dutch_P,Dutch,All,Yes
SOL_French_M,French,Male,Yes
SOL_French_F,French,Female,Yes
SOL_French_P,French,All,Yes
SOL_German_M,German,Male,Yes
SOL_German_F,German,Female,Yes
SOL_German_P,German,All,Yes
SOL_Greek_M,Greek,Male,Yes
SOL_Greek_F,Greek,Female,Yes
SOL_Greek_P,Greek,All,Yes
SOL_Hungarian_M,Hungarian,Male,Yes
SOL_Hungarian_F,Hungarian,Female,Yes
SOL_Hungarian_P,Hungarian,All,Yes
SOL_In_Ar_Lang_Beng_M,Bengali,Male,Yes
SOL_In_Ar_Lang_Beng_F,Bengali,Female,Yes
SOL_In_Ar_Lang_Beng_P,Bengali,All,Yes
SOL_In_Ar_Lang_Hind_M,Hindi,Male,Yes
SOL_In_Ar_Lang_Hind_F,Hindi,Female,Yes
SOL_In_Ar_Lang_Hind_P,Hindi,All,Yes
SOL_In_Ar_Lang_Punj_M,Punjabi,Male,Yes
SOL_In_Ar_Lang_Punj_F,Punjabi,Female,Yes
SOL_In_Ar_Lang_Punj_P,Punjabi,All,Yes
SOL_In_Ar_Lang_Sinh_M,Sinhalese,Male,Yes
SOL_In_Ar_Lang_Sinh_F,Sinhalese,Female,Yes
SOL_In_Ar_Lang_Sinh_P,Sinhalese,All,Yes
SOL_In_Ar_Lang_Urdu_M,Urdu,Male,Yes
SOL_In_Ar_Lang_Urdu_F,Urdu,Female,Yes
SOL_In_Ar_Lang_Urdu_P,Urdu,All,Yes
SOL_In_Ar_Lang_Othr_M,Other Indian,Male,Yes
SOL_In_Ar_Lang_Othr_F,Other Indian,Female,Yes
SOL_In_Ar_Lang_Othr_P,Other Indian,All,Yes
SOL_In_Ar_Lang_Tot_M,Indian Total,Male,No
SOL_In_Ar_Lang_Tot_F,Indian Total,Female,No
SOL_In_Ar_Lang_Tot_P,Indian Total,All,No
SOL_Ir_Lang_Dari_M,Dari,Male,Yes
SOL_Ir_Lang_Dari_F,Dari,Female,Yes
SOL_Ir_Lang_Dari_P,Dari,All,Yes
SOL_Ir_La_Pe_excl_Da_M,Persian,Male,Yes
SOL_Ir_La_Pe_excl_Da_F,Persian,Female,Yes
SOL_Ir_La_Pe_excl_Da_P,Persian,All,Yes
SOL_Irani_Lan_Othr_M,Other Iran,Male,Yes
SOL_Irani_Lan_Othr_F,Other Iran,Female,Yes
SOL_Irani_Lan_Othr_P,Other Iran,All,Yes
SOL_Iran_Lan_Tot_M,Iran Total,Male,No
SOL_Iran_Lan_Tot_F,Iran Total,Female,No
SOL_Iran_Lan_Tot_P,Iran Total,All,No
SOL_Italian_M,Italian,Male,Yes
SOL_Italian_F,Italian,Female,Yes
SOL_Italian_P,Italian,All,Yes
SOL_Japanese_M,Japanese,Male,Yes
SOL_Japanese_F,Japanese,Female,Yes
SOL_Japanese_P,Japanese,All,Yes
SOL_Khmer_M,Khmer,Male,Yes
SOL_Khmer_F,Khmer,Female,Yes
SOL_Khmer_P,Khmer,All,Yes
SOL_Korean_M,Korean,Male,Yes
SOL_Korean_F,Korean,Female,Yes
SOL_Korean_P,Korean,All,Yes
SOL_Macedonian_M,Macedonian,Male,Yes
SOL_Macedonian_F,Macedonian,Female,Yes
SOL_Macedonian_P,Macedonian,All,Yes
SOL_Maltese_M,Maltese,Male,Yes
SOL_Maltese_F,Maltese,Female,Yes
SOL_Maltese_P,Maltese,All,Yes
SOL_Polish_M,Polish,Male,Yes
SOL_Polish_F,Polish,Female,Yes
SOL_Polish_P,Polish,All,Yes
SOL_Portuguese_M,Portuguese,Male,Yes
SOL_Portuguese_F,Portuguese,Female,Yes
SOL_Portuguese_P,Portuguese,All,Yes
SOL_Russian_M,Russian,Male,Yes
SOL_Russian_F,Russian,Female,Yes
SOL_Russian_P,Russian,All,Yes
SOL_Samoan_M,Samoan,Male,Yes
SOL_Samoan_F,Samoan,Female,Yes
SOL_Samoan_P,Samoan,All,Yes
SOL_Serbian_M,Serbian,Male,Yes
SOL_Serbian_F,Serbian,Female,Yes
SOL_Serbian_P,Serbian,All,Yes
SOL_Se_As_A_L_Filipino_M,Filipino,Male,Yes
SOL_Se_As_A_L_Filipino_F,Filipino,Female,Yes
SOL_Se_As_A_L_Filipino_P,Filipino,All,Yes
SOL_Se_As_A_L_Indon_M,Indonesian,Male,Yes
SOL_Se_As_A_L_Indon_F,Indonesian,Female,Yes
SOL_Se_As_A_L_Indon_P,Indonesian,All,Yes
SOL_Se_As_A_L_Tagal_M,Tagalog,Male,Yes
