"SA2_MAIN","SA2_NAME","variable","value"
102011028,"Avoca Beach - Copacabana","Arabic",3
102011029,"Box Head - MacMasters Beach","Arabic",4
102011030,"Calga - Kulnura","Arabic",18
102011031,"Erina - Green Point","Arabic",28
102011032,"Gosford - Springfield","Arabic",45
102011033,"Kariong","Arabic",39
102011034,"Kincumber - Picketts Valley","Arabic",5
102011035,"Narara","Arabic",8
102011036,"Niagara Park - Lisarow","Arabic",13
102011037,"Point Clare - Koolewong","Arabic",4
102011038,"Saratoga - Davistown","Arabic",0
102011039,"Terrigal - North Avoca","Arabic",24
102011040,"Umina - Booker Bay - Patonga","Arabic",18
102011041,"Wamberal - Forresters Beach","Arabic",19
102011042,"Woy Woy - Blackwall","Arabic",14
102011043,"Wyoming","Arabic",13
102021044,"Bateau Bay - Killarney Vale","Arabic",22
103011061,"Oberon","Arabic",3
103031070,"Lithgow","Arabic",20
103031071,"Lithgow Region","Arabic",5
103031075,"Wollangambe - Wollemi","Arabic",0
107041147,"Helensburgh","Arabic",0
115011290,"Baulkham Hills (East)","Arabic",362
115011291,"Baulkham Hills (West) - Bella Vista","Arabic",341
115011292,"Castle Hill","Arabic",481
115011293,"Cherrybrook","Arabic",265
115011294,"Glenhaven","Arabic",54
115011295,"Kellyville","Arabic",484
115011296,"West Pennant Hills","Arabic",207
115021297,"Dural - Kenthurst - Wisemans Ferry","Arabic",554
115021298,"Galston - Laughtondale","Arabic",55
115031299,"Bilpin - Colo - St Albans","Arabic",4
115031300,"Kurrajong Heights - Ebenezer","Arabic",39
115041301,"Pitt Town - McGraths Hill","Arabic",57
115041302,"Rouse Hill - Beaumont Hills","Arabic",289
116011303,"Blacktown (East) - Kings Park","Arabic",685
116011304,"Blacktown (North) - Marayong","Arabic",585
116011305,"Blacktown (South)","Arabic",1364
116011306,"Doonside - Woodcroft","Arabic",742
116011307,"Lalor Park - Kings Langley","Arabic",554
116011308,"Seven Hills - Toongabbie","Arabic",792
116021309,"Glenwood","Arabic",346
116021310,"Parklea - Kellyville Ridge","Arabic",314
116021311,"Quakers Hill - Acacia Gardens","Arabic",356
116021312,"Riverstone - Marsden Park","Arabic",65
116031313,"Bidwill - Hebersham - Emerton","Arabic",639
116031314,"Glendenning Dean Park","Arabic",281
116031315,"Hassall Grove - Plumpton","Arabic",755
116031316,"Lethbridge Park - Tregear","Arabic",314
116031317,"Mount Druitt - Whalan","Arabic",1452
116031318,"Prospect Reservoir","Arabic",0
116031319,"Rooty Hill - Minchinbury","Arabic",595
117011320,"Banksmeadow","Arabic",0
117011321,"Botany","Arabic",56
117011322,"Mascot - Eastlakes","Arabic",524
117011323,"Pagewood - Hillsdale - Daceyville","Arabic",244
117011324,"Port Botany Industrial","Arabic",0
117011325,"Sydney Airport","Arabic",0
117021326,"Marrickville","Arabic",1024
117021327,"Petersham - Stanmore","Arabic",140
117021328,"Sydenham - Tempe - St Peters","Arabic",79
117031329,"Darlinghurst","Arabic",34
117031330,"Erskineville - Alexandria","Arabic",73
117031331,"Glebe - Forest Lodge","Arabic",76
117031332,"Newtown - Camperdown - Darlington","Arabic",103
117031333,"Potts Point - Woolloomooloo","Arabic",72
117031334,"Pyrmont - Ultimo","Arabic",210
117031335,"Redfern - Chippendale","Arabic",238
117031336,"Surry Hills","Arabic",86
117031337,"Sydney - Haymarket - The Rocks","Arabic",160
117031338,"Waterloo - Beaconsfield","Arabic",457
118011339,"Bondi - Tamarama - Bronte","Arabic",75
118011340,"Bondi Beach - North Bondi","Arabic",53
118011341,"Bondi Junction - Waverly","Arabic",60
118011342,"Centennial Park","Arabic",0
118011343,"Double Bay - Bellevue Hill","Arabic",56
118011344,"Dover Heights","Arabic",33
118011345,"Paddington - Moore Park","Arabic",29
118011346,"Rose Bay - Vaucluse - Watsons Bay","Arabic",27
118011347,"Woollahra","Arabic",15
118021348,"Coogee - Clovelly","Arabic",170
118021349,"Kensington - Kingsford","Arabic",304
118021350,"Malabar - La Perouse - Chifley","Arabic",222
118021351,"Maroubra","Arabic",383
118021352,"Randwick","Arabic",140
119011353,"Bankstown","Arabic",7236
119011354,"Bass Hill - Georges Hall","Arabic",4180
119011355,"Chullora","Arabic",0
119011356,"Condell Park","Arabic",2773
119011357,"Greenacre - Mount Lewis","Arabic",10272
119011358,"Padstow","Arabic",929
119011359,"Panania - Milperra - Picnic Point","Arabic",1124
119011360,"Revesby","Arabic",1271
119011361,"Yagoona - Birrong","Arabic",4425
119021362,"Belmore - Belfield","Arabic",2620
119021363,"Canterbury (South) - Campsie","Arabic",2171
119021364,"Kingsgrove (North) - Earlwood","Arabic",1538
119021365,"Lakemba - Wiley Park","Arabic",4946
119021366,"Punchbowl","Arabic",7193
119021367,"Roselands","Arabic",1922
119031368,"Hurstville","Arabic",933
