SA2_MAIN,SA2_NAME,STATE_CODE,STATE_NAME,AREA_SQKM
102011028,Avoca Beach - Copacabana,1,New South Wales,6.436927379
102011029,Box Head - MacMasters Beach,1,New South Wales,32.08645967
102011030,Calga - Kulnura,1,New South Wales,767.8960864
102011031,Erina - Green Point,1,New South Wales,33.7840361
102011032,Gosford - Springfield,1,New South Wales,16.91422744
102011033,Kariong,1,New South Wales,8.306395727
102011034,Kincumber - Picketts Valley,1,New South Wales,12.08913086
102011035,Narara,1,New South Wales,7.702217374
102011036,Niagara Park - Lisarow,1,New South Wales,16.7363796
102011037,Point Clare - Koolewong,1,New South Wales,6.787647617
102011038,Saratoga - Davistown,1,New South Wales,4.768387807
102011039,Terrigal - North Avoca,1,New South Wales,10.10698821
102011040,Umina - Booker Bay - Patonga,1,New South Wales,25.11106983
102011041,Wamberal - Forresters Beach,1,New South Wales,13.72607779
102011042,Woy Woy - Blackwall,1,New South Wales,17.42304645
102011043,Wyoming,1,New South Wales,8.37247133
102021044,Bateau Bay - Killarney Vale,1,New South Wales,10.85424352
103011061,Oberon,1,New South Wales,2972.197872
103031070,Lithgow,1,New South Wales,119.9846689
103031071,Lithgow Region,1,New South Wales,2513.71861
103031075,Wollangambe - Wollemi,1,New South Wales,2448.339623
107041147,Helensburgh,1,New South Wales,154.6915651
115011290,Baulkham Hills (East),1,New South Wales,8.296561178
115011291,Baulkham Hills (West) - Bella Vista,1,New South Wales,11.01853309
115011292,Castle Hill,1,New South Wales,15.10495119
115011293,Cherrybrook,1,New South Wales,10.28656353
115011294,Glenhaven,1,New South Wales,7.239745566
115011295,Kellyville,1,New South Wales,12.24865093
115011296,West Pennant Hills,1,New South Wales,7.807589624
115021297,Dural - Kenthurst - Wisemans Ferry,1,New South Wales,377.4757587
115021298,Galston - Laughtondale,1,New South Wales,191.6991981
115031299,Bilpin - Colo - St Albans,1,New South Wales,2159.615799
115031300,Kurrajong Heights - Ebenezer,1,New South Wales,331.8510589
115041301,Pitt Town - McGraths Hill,1,New South Wales,81.63673658
115041302,Rouse Hill - Beaumont Hills,1,New South Wales,36.72393271
116011303,Blacktown (East) - Kings Park,1,New South Wales,7.97503007
116011304,Blacktown (North) - Marayong,1,New South Wales,7.383169971
116011305,Blacktown (South),1,New South Wales,8.035078975
116011306,Doonside - Woodcroft,1,New South Wales,9.85212146
116011307,Lalor Park - Kings Langley,1,New South Wales,11.81556747
116011308,Seven Hills - Toongabbie,1,New South Wales,11.20448408
116021309,Glenwood,1,New South Wales,5.05950833
116021310,Parklea - Kellyville Ridge,1,New South Wales,9.877842941
116021311,Quakers Hill - Acacia Gardens,1,New South Wales,8.713480051
116021312,Riverstone - Marsden Park,1,New South Wales,79.35804992
116031313,Bidwill - Hebersham - Emerton,1,New South Wales,6.094361525
116031314,Glendenning Dean Park,1,New South Wales,5.148346443
116031315,Hassall Grove - Plumpton,1,New South Wales,6.205337233
116031316,Lethbridge Park - Tregear,1,New South Wales,11.35545423
116031317,Mount Druitt - Whalan,1,New South Wales,8.684524013
116031318,Prospect Reservoir,1,New South Wales,30.6917455
116031319,Rooty Hill - Minchinbury,1,New South Wales,14.67736474
117011320,Banksmeadow,1,New South Wales,3.368342655
117011321,Botany,1,New South Wales,3.430148377
117011322,Mascot - Eastlakes,1,New South Wales,6.168467988
117011323,Pagewood - Hillsdale - Daceyville,1,New South Wales,3.119624985
117011324,Port Botany Industrial,1,New South Wales,2.804210685
117011325,Sydney Airport,1,New South Wales,8.910977161
117021326,Marrickville,1,New South Wales,5.812530878
117021327,Petersham - Stanmore,1,New South Wales,3.002717579
117021328,Sydenham - Tempe - St Peters,1,New South Wales,3.853950323
117031329,Darlinghurst,1,New South Wales,0.857011057
117031330,Erskineville - Alexandria,1,New South Wales,4.317365404
117031331,Glebe - Forest Lodge,1,New South Wales,2.301593807
117031332,Newtown - Camperdown - Darlington,1,New South Wales,3.281495223
117031333,Potts Point - Woolloomooloo,1,New South Wales,1.459526089
117031334,Pyrmont - Ultimo,1,New South Wales,1.491005285
117031335,Redfern - Chippendale,1,New South Wales,2.162062279
117031336,Surry Hills,1,New South Wales,1.316830678
117031337,Sydney - Haymarket - The Rocks,1,New South Wales,4.279443361
117031338,Waterloo - Beaconsfield,1,New South Wales,3.58021959
118011339,Bondi - Tamarama - Bronte,1,New South Wales,2.451184298
118011340,Bondi Beach - North Bondi,1,New South Wales,2.398635547
118011341,Bondi Junction - Waverly,1,New South Wales,2.523843697
118011342,Centennial Park,1,New South Wales,1.979808974
118011343,Double Bay - Bellevue Hill,1,New South Wales,4.713129482
118011344,Dover Heights,1,New South Wales,1.869293512
118011345,Paddington - Moore Park,1,New South Wales,3.725058047
118011346,Rose Bay - Vaucluse - Watsons Bay,1,New South Wales,5.135676087
118011347,Woollahra,1,New South Wales,1.278806977
118021348,Coogee - Clovelly,1,New South Wales,3.832501172
118021349,Kensington - Kingsford,1,New South Wales,4.655802378
118021350,Malabar - La Perouse - Chifley,1,New South Wales,11.82572048
118021351,Maroubra,1,New South Wales,5.923588529
118021352,Randwick,1,New South Wales,5.309068631
119011353,Bankstown,1,New South Wales,7.159091603
119011354,Bass Hill - Georges Hall,1,New South Wales,8.915313705
119011355,Chullora,1,New South Wales,4.050044368
119011356,Condell Park,1,New South Wales,10.0046718
119011357,Greenacre - Mount Lewis,1,New South Wales,6.982100141
119011358,Padstow,1,New South Wales,6.507118752
119011359,Panania - Milperra - Picnic Point,1,New South Wales,14.39025474
119011360,Revesby,1,New South Wales,5.092409585
119011361,Yagoona - Birrong,1,New South Wales,5.559037056
119021362,Belmore - Belfield,1,New South Wales,4.51345078
119021363,Canterbury (South) - Campsie,1,New South Wales,4.777979006
119021364,Kingsgrove (North) - Earlwood,1,New South Wales,8.202031872
119021365,Lakemba - Wiley Park,1,New South Wales,3.580022175
119021366,Punchbowl,1,New South Wales,5.256537374
119021367,Roselands,1,New South Wales,3.645589265
119031368,Hurstville,1,New South Wales,3.640388603
119031369,Mortdale - Penshurst,1,New South Wales,6.115591109
119031370,Narwee - Beverly Hills,1,New South Wales,3.391635604
119031371,Oatley - Hurstville Grove,1,New South Wales,4.355025011
119031372,Peakhurst - Lugarno,1,New South Wales,7.429460051
119031373,Riverwood,1,New South Wales,2.767343308
119031374,South Hurstville - Blakehurst,1,New South Wales,6.239177527
119041375,Arncliffe - Bardwell Valley,1,New South Wales,4.99310413
119041376,Bexley,1,New South Wales,5.287846841
119041377,Kingsgrove (South) - Bardwell Park,1,New South Wales,3.787071988
119041378,Kogarah,1,New South Wales,2.20985222
119041379,Kogarah Bay - Carlton - Allawah,1,New South Wales,3.503412743
119041380,Monterey - Brighton-le-Sands - Kyeemagh,1,New South Wales,3.382427624
119041381,Rockdale - Banksia,1,New South Wales,3.574326099
119041382,Sans Souci - Ramsgate,1,New South Wales,4.585857555
120011383,Concord - Mortlake - Cabarita,1,New South Wales,6.325574851
120011384,Concord West - North Strathfield,1,New South Wales,5.100635754
120011385,Drummoyne - Rodd Point,1,New South Wales,3.673495399
120011386,Five Dock - Abbotsford,1,New South Wales,4.617235889
120021387,Balmain,1,New South Wales,2.562610546
120021388,Leichhardt - Annandale,1,New South Wales,4.472341344
120021389,Lilyfield - Rozelle,1,New South Wales,3.604095308
120031390,Ashfield,1,New South Wales,3.670016292
120031391,Burwood - Croydon,1,New South Wales,4.490113477
120031392,Canterbury (North) - Ashbury,1,New South Wales,3.027394807
120031393,Croydon Park - Enfield,1,New South Wales,3.971051824
120031394,Dulwich Hill - Lewisham,1,New South Wales,2.701659186
120031395,Haberfield - Summer Hill,1,New South Wales,3.473768571
120031396,Homebush,1,New South Wales,3.845126986
120031397,Strathfield,1,New South Wales,8.964256177
121011398,Chatswood (East) - Artarmon,1,New South Wales,5.081455009
121011399,Chatswood (West) - Lane Cove North,1,New South Wales,5.537256485
121011400,Lane Cove - Greenwich,1,New South Wales,9.056174192
121011401,St Leonards - Naremburn,1,New South Wales,2.751140678
121011402,Willoughby - Castle Cove - Northbridge,1,New South Wales,10.75155257
121021403,Asquith - Mount Colah,1,New South Wales,34.68525012
121021404,Berowra - Brooklyn - Cowan,1,New South Wales,81.75451274
121021405,Hornsby - Waitara,1,New South Wales,10.97749386
121021406,Normanhurst - Thornleigh - Westleigh,1,New South Wales,9.994371369
121031407,Gordon - Killara,1,New South Wales,11.67101674
121031408,Lindfield - Roseville,1,New South Wales,11.87390396
121031409,Pymble,1,New South Wales,10.25149002
121031410,St Ives,1,New South Wales,17.77664913
121031411,Turramurra,1,New South Wales,20.63519705
121031412,Wahroonga - Warrawee,1,New South Wales,13.32633299
121041413,Cremorne - Cammeray,1,New South Wales,3.238555625
121041414,Crows Nest - Waverton,1,New South Wales,2.950884582
121041415,Mosman,1,New South Wales,8.65099419
121041416,Neutral Bay - Kirribilli,1,New South Wales,2.210665454
121041417,North Sydney - Lavender Bay,1,New South Wales,1.912072448
122011418,Balgowlah - Clontarf - Seaforth,1,New South Wales,7.605811873
122011419,Manly - Fairlight,1,New South Wales,6.727627744
122021420,Avalon - Palm Beach,1,New South Wales,8.605437166
122021421,Bayview - Elanora Heights,1,New South Wales,64.35483872
122021422,Newport - Bilgola,1,New South Wales,5.690123968
122021423,Warriewood - Mona Vale,1,New South Wales,11.67801962
122031424,Beacon Hill - Narraweena,1,New South Wales,4.340677609
122031425,Cromer,1,New South Wales,7.491646737
122031426,Dee Why - North Curl Curl,1,New South Wales,4.073295248
122031427,Forestville - Killarney Heights,1,New South Wales,8.930687777
122031428,Frenchs Forest - Belrose,1,New South Wales,30.13195148
122031429,Freshwater - Brookvale,1,New South Wales,7.188951707
122031430,Manly Vale - Allambie Heights,1,New South Wales,9.354129773
122031431,Narrabeen - Collaroy,1,New South Wales,7.162087554
122031432,Terrey Hills - Duffys Forest,1,New South Wales,70.7015071
123011433,Camden - Ellis Lane,1,New South Wales,26.20368413
123011434,Elderslie - Harrington Park,1,New South Wales,21.53357505
123011435,Mount Annan - Currans Hill,1,New South Wales,26.19394605
123021436,Bradbury - Wedderburn,1,New South Wales,36.65587157
123021437,Campbelltown - Woodbine,1,New South Wales,13.74862566
123021438,Claymore - Eagle Vale - Raby,1,New South Wales,22.93838988
123021439,Holsworthy Military Area,1,New South Wales,129.9506721
123021440,Ingleburn - Denham Court,1,New South Wales,30.91338326
123021441,Leumeah - Minto Heights,1,New South Wales,23.64626131
123021442,Macquarie Fields - Glenfield,1,New South Wales,16.01540978
123021443,Minto - St Andrews,1,New South Wales,12.41407043
123021444,Rosemeadow - Glen Alpine,1,New South Wales,48.08427418
123031446,Douglas Park - Appin,1,New South Wales,289.8591452
123031447,Picton - Tahmoor - Buxton,1,New South Wales,189.9018126
123031448,The Oaks - Oakdale,1,New South Wales,322.7221002
124011449,Blackheath - Megalong Valley,1,New South Wales,139.2163084
124011450,Blaxland - Warrimoo - Lapstone,1,New South Wales,29.69419526
124011451,Blue Mountains - North,1,New South Wales,595.0366993
124011452,Katoomba - Leura,1,New South Wales,40.8726218
124011453,Lawson - Hazelbrook - Linden,1,New South Wales,46.88747653
124011454,Springwood - Winmalee,1,New South Wales,69.66421219
124011455,Wentworth Falls,1,New South Wales,21.03536451
124021456,Blue Mountains - South,1,New South Wales,2457.489558
124031457,Cambridge Park,1,New South Wales,6.586776914
124031458,Castlereagh - Cranebrook,1,New South Wales,71.41266213
124031459,Emu Plains - Leonay,1,New South Wales,13.79398648
124031460,Glenmore Park - Regentville,1,New South Wales,9.215953083
124031461,Jamisontown - South Penrith,1,New South Wales,9.018020883
124031462,Kingswood - Werrington,1,New South Wales,14.02292112
124031463,Mulgoa - Luddenham - Orchard Hills,1,New South Wales,165.2296697
124031464,Penrith,1,New South Wales,10.39394002
124031465,Warragamba - Silverdale,1,New South Wales,63.67909198
124041466,Richmond - Clarendon,1,New South Wales,74.67281043
124041467,Windsor - Bligh Park,1,New South Wales,22.68947138
124041468,Yarramundi - Londonderry,1,New South Wales,81.54129002
124051469,Erskine Park,1,New South Wales,8.394376444
124051470,St Clair,1,New South Wales,7.203493942
124051471,St Marys - Colyton,1,New South Wales,17.42816378
125011472,Auburn,1,New South Wales,8.260302355
125011473,Homebush Bay - Silverwater,1,New South Wales,11.26250576
125011474,Lidcombe - Regents Park,1,New South Wales,10.52231227
125011475,Rookwood Cemetery,1,New South Wales,3.015048589
125021476,Carlingford,1,New South Wales,9.745611457
125021477,Ermington - Rydalmere,1,New South Wales,9.866065275
125021478,Oatlands - Dundas Valley,1,New South Wales,6.076180494
125031479,Chester Hill - Sefton,1,New South Wales,7.266799086
125031480,Fairfield - East,1,New South Wales,5.711496524
125031481,Granville - Clyde,1,New South Wales,5.609097486
125031482,Greystanes - Pemulwuy,1,New South Wales,11.84893575
125031483,Guildford - South Granville,1,New South Wales,6.796554062
125031484,Guildford West - Merrylands West,1,New South Wales,5.465700115
125031485,Merrylands - Holroyd,1,New South Wales,6.719155045
125031486,Smithfield Industrial,1,New South Wales,4.301685955
125031487,Yennora Industrial,1,New South Wales,2.078864878
125041488,Girraween - Westmead,1,New South Wales,8.397986765
125041489,North Parramatta,1,New South Wales,7.060370828
125041490,North Rocks,1,New South Wales,5.391711839
125041491,Northmead,1,New South Wales,5.92648192
125041492,Parramatta - Rosehill,1,New South Wales,8.496235987
125041493,Toongabbie - Constitution Hill,1,New South Wales,7.477691394
125041494,Winston Hills,1,New South Wales,4.337346169
126011495,Epping - North Epping,1,New South Wales,8.887912538
126011496,Pennant Hills - Cheltenham,1,New South Wales,13.31736792
126021497,Eastwood - Denistone,1,New South Wales,7.81958522
126021498,Gladesville - Huntleys Point,1,New South Wales,4.715850514
126021499,Hunters Hill - Woolwich,1,New South Wales,4.151408689
