ColumName,Source,TimePeriod,Gender,Language,Include
Spks_Engl_only_C01_M,10A,2001,male,English Only,YES
Spks_Engl_only_C01_F,10A,2001,female,English Only,YES
Spks_Engl_only_C01_P,10A,2001,all,English Only,YES
Spks_Engl_only_C06_M,10A,2006,male,English Only,YES
Spks_Engl_only_C06_F,10A,2006,female,English Only,YES
Spks_Engl_only_C06_P,10A,2006,all,English Only,YES
Spks_Engl_only_C11_M,10A,2011,male,English Only,YES
Spks_Engl_only_C11_F,10A,2011,female,English Only,YES
Spks_Engl_only_C11_P,10A,2011,all,English Only,YES
SOL_Ar_in_Le_C01_M,10A,2001,male,Arabic,YES
SOL_Ar_in_Le_C01_F,10A,2001,female,Arabic,YES
SOL_Ar_in_Le_C01_P,10A,2001,all,Arabic,YES
SOL_Ar_in_Le_C06_M,10A,2006,male,Arabic,YES
SOL_Ar_in_Le_C06_F,10A,2006,female,Arabic,YES
SOL_Ar_in_Le_C06_P,10A,2006,all,Arabic,YES
SOL_Ar_in_Le_C11_M,10A,2011,male,Arabic,YES
SOL_Ar_in_Le_C11_F,10A,2011,female,Arabic,YES
SOL_Ar_in_Le_C11_P,10A,2011,all,Arabic,YES
SOL_Assyr_C01_M,10A,2001,male,Assyrian,YES
SOL_Assyr_C01_F,10A,2001,female,Assyrian,YES
SOL_Assyr_C01_P,10A,2001,all,Assyrian,YES
SOL_Assyr_C06_M,10A,2006,male,Assyrian,YES
SOL_Assyr_C06_F,10A,2006,female,Assyrian,YES
SOL_Assyr_C06_P,10A,2006,all,Assyrian,YES
SOL_Assyr_C11_M,10A,2011,male,Assyrian,YES
SOL_Assyr_C11_F,10A,2011,female,Assyrian,YES
SOL_Assyr_C11_P,10A,2011,all,Assyrian,YES
SOL_Aus_In_La_C01_M,10A,2001,male,Aboriginal,YES
SOL_Aus_In_La_C01_F,10A,2001,female,Aboriginal,YES
SOL_Aus_In_La_C01_P,10A,2001,all,Aboriginal,YES
SOL_Aus_In_La_C06_M,10A,2006,male,Aboriginal,YES
SOL_Aus_In_La_C06_F,10A,2006,female,Aboriginal,YES
SOL_Aus_In_La_C06_P,10A,2006,all,Aboriginal,YES
SOL_Aus_In_La_C11_M,10A,2011,male,Aboriginal,YES
SOL_Aus_In_La_C11_F,10A,2011,female,Aboriginal,YES
SOL_Aus_In_La_C11_P,10A,2011,all,Aboriginal,YES
SOL_Canton_C01_M,10A,2001,male,Cantonese,YES
SOL_Canton_C01_F,10A,2001,female,Cantonese,YES
SOL_Canton_C01_P,10A,2001,all,Cantonese,YES
SOL_Canton_C06_M,10A,2006,male,Cantonese,YES
SOL_Canton_C06_F,10A,2006,female,Cantonese,YES
SOL_Canton_C06_P,10A,2006,all,Cantonese,YES
SOL_Canton_C11_M,10A,2011,male,Cantonese,YES
SOL_Canton_C11_F,10A,2011,female,Cantonese,YES
SOL_Canton_C11_P,10A,2011,all,Cantonese,YES
SOL_Mandar_C01_M,10A,2001,male,Mandarin,YES
SOL_Mandar_C01_F,10A,2001,female,Mandarin,YES
SOL_Mandar_C01_P,10A,2001,all,Mandarin,YES
SOL_Mandar_C06_M,10A,2006,male,Mandarin,YES
SOL_Mandar_C06_F,10A,2006,female,Mandarin,YES
SOL_Mandar_C06_P,10A,2006,all,Mandarin,YES
SOL_Mandar_C11_M,10A,2011,male,Mandarin,YES
SOL_Mandar_C11_F,10A,2011,female,Mandarin,YES
SOL_Mandar_C11_P,10A,2011,all,Mandarin,YES
