id,total.01,foreign.01,english.01,other01,,total.06,foreign.06,english.06,other06,,total.11,foreign.11,english.11,other.11,,,,,,,,,,,,,
102011028,6880,181,6384,315,,6643,225,6064,354,,6839,272,6267,300,,6565,6289,6539,-4.2%,-4.874%,0.670%,,-0.40%,-1.78%,1.39%,0.00%,
102011029,9669,230,8961,478,,10021,243,9252,526,,10104,308,9365,431,,9191,9495,9673,3.3%,3.166%,0.141%,,5.24%,4.40%,0.85%,0.00%,
102011030,4151,318,3553,280,,3928,350,3187,391,,4526,352,3728,446,,3871,3537,4080,-8.6%,-9.455%,0.827%,,5.40%,4.52%,0.88%,0.00%,
102011031,11987,506,11024,457,,12949,588,11769,592,,13345,785,12117,443,,11530,12357,12902,7.2%,6.461%,0.711%,,11.90%,9.48%,2.42%,0.00%,
102011032,16573,951,14686,936,,16900,1071,14136,1693,,18271,1654,15045,1572,,15637,15207,16699,-2.7%,-3.517%,0.767%,,6.79%,2.30%,4.50%,0.00%,
102011033,6583,429,5947,207,,6448,392,5791,265,,6455,449,5832,174,,,,,,,,,,,,,
102011034,6857,164,6442,251,,7049,192,6636,221,,6957,219,6532,206,,,,,,,,,,,,,
102011035,7289,317,6653,319,,6943,350,6332,261,,6417,378,5856,183,,,,,,,,,,,,,
102011036,6426,231,5926,269,,6769,253,6308,208,,7882,314,7314,254,,,,,,,,,,,,,
102011037,5647,211,5040,396,,6069,293,5409,367,,6222,340,5459,423,,,,,,,,,,,,,
102011038,6279,105,5865,309,,6250,125,5781,344,,6423,176,6072,175,,,,,,,,,,,,,
102011039,11645,538,10627,480,,12058,587,10659,812,,12489,711,11014,764,,,,,,,,,,,,,
102011040,21321,615,19464,1242,,21346,653,18523,2170,,22190,941,19959,1290,,,,,,,,,,,,,
102011041,8961,294,8350,317,,9007,300,8198,509,,8887,342,8229,316,,,,,,,,,,,,,
102011042,12798,406,11731,661,,13033,474,11369,1190,,13190,694,11807,689,,,,,,,,,,,,,
102011043,12401,474,11291,636,,11355,573,10436,346,,11075,658,9995,422,,,,,,,,,,,,,
102021044,20641,564,19211,866,,20777,585,19211,981,,20960,655,19768,537,,,,,,,,,,,,,
103011061,4466,158,3900,408,,4743,210,4253,280,,4571,251,4052,268,,,,,,,,,,,,,
103031070,12198,307,11079,812,,11969,280,10941,748,,12142,391,10823,928,,,,,,,,,,,,,
103031071,7131,152,6612,367,,7434,196,6810,428,,7713,197,7165,351,,,,,,,,,,,,,
103031075,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,
107041147,7966,285,7377,304,,8038,264,7547,227,,8410,323,7781,306,,,,,,,,,,,,,
115011290,18901,3685,14598,618,,19878,4598,14636,644,,21294,6079,14650,565,,,,,,,,,,,,,
115011291,16229,3743,11984,502,,17887,4881,12488,518,,18815,6001,12252,562,,Tot01,Tot06,Tot11,PopChange06,EngChange06,ForChange06,,Popchange11,EngChange11,ForChange11,CheckSum,
115011292,24065,4032,19160,873,,25006,5292,18898,816,,27418,7457,19034,927,,,,,,,,,,,,,
115011293,24112,6674,16368,1070,,24629,7470,16433,726,,24210,8125,15411,674,,23042,23903,23536,3.7%,0.282%,3.455%,,2.14%,-4.15%,6.30%,0.00%,
115011294,5699,631,4911,157,,5576,647,4810,119,,5704,667,4902,135,,5542,5457,5569,-1.5%,-1.822%,0.289%,,0.49%,-0.16%,0.65%,0.00%,
115011295,11760,2123,9220,417,,19789,4977,14069,743,,23747,6803,16283,661,,11343,19046,23086,67.9%,42.749%,25.161%,,103.53%,62.27%,41.26%,0.00%,
115011296,12769,3435,8746,588,,12502,3811,8381,310,,12334,4192,7838,304,,12181,12192,12030,0.1%,-2.996%,3.087%,,-1.24%,-7.45%,6.21%,0.00%,
115021297,19431,2789,15828,814,,19686,2724,16103,859,,20061,3112,16380,569,,18617,18827,19492,1.1%,1.477%,-0.349%,,4.70%,2.97%,1.73%,0.00%,
115021298,5369,491,4522,356,,4827,428,4170,229,,5017,453,4434,130,,,,,,,,,,,,,
115031299,2431,130,2099,202,,2541,92,2137,312,,2709,139,2211,359,,,,,,,,,,,,,
115031300,20782,806,18682,1294,,21183,902,19271,1010,,20972,825,19167,980,,,,,,,,,,,,,
115041301,8802,612,7672,518,,8612,572,7686,354,,8990,664,7997,329,,,,,,,,,,,,,
115041302,9582,1580,7438,564,,16959,3661,12578,720,,18075,4139,13234,702,,,,,,,,,,,,,
116011303,12479,4136,7652,691,,13207,5101,6994,1112,,15885,7319,7477,1089,,,,,,,,,,,,,
116011304,16208,4350,11074,784,,15896,4796,10372,728,,16862,5901,10136,825,,,,,,,,,,,,,
116011305,23937,7859,14699,1379,,24427,9223,13948,1256,,26627,11700,13974,953,,,,,,,,,,,,,
116011306,18659,7304,10440,915,,18429,7746,9805,878,,19552,9031,9639,882,,,,,,,,,,,,,
116011307,24376,4458,18911,1007,,23427,4684,17641,1102,,23905,5526,17588,791,,,,,,,,,,,,,
116011308,21893,6791,14115,987,,21887,7513,13410,964,,22439,8992,12493,954,,,,,,,,,,,,,
116021309,9426,2948,5941,537,,14065,5125,8275,665,,15380,6600,8331,449,,,,,,,,,,,,,
116021310,4521,667,2979,875,,11222,3134,6361,1727,,22533,8058,13019,1456,,,,,,,,,,,,,
116021311,20882,4900,15025,957,,24296,6703,16673,920,,25905,8687,16374,844,,,,,,,,,,,,,
116021312,11298,1611,9041,646,,10617,1467,8671,479,,11169,1499,9116,554,,,,,,,,,,,,,
116031313,19260,4517,13171,1572,,18271,4584,12298,1389,,18513,4948,12509,1056,,,,,,,,,,,,,
116031314,8009,3123,4499,387,,7955,3175,4433,347,,8176,3285,4555,336,,,,,,,,,,,,,
116031315,17624,6889,9789,946,,18777,7951,10095,731,,19674,8762,9990,922,,,,,,,,,,,,,
116031316,15188,2402,11442,1344,,14623,2627,10847,1149,,16054,3031,11840,1183,,,,,,,,,,,,,
116031317,17480,6415,9783,1282,,19242,7819,9537,1886,,21796,10455,9992,1349,,,,,,,,,,,,,
116031318,0,0,0,0,,0,0,0,0,,116,12,73,31,,,,,,,,,,,,,
116031319,17067,5940,9970,1157,,18190,6897,10333,960,,19732,8250,10506,976,,,,,,,,,,,,,
117011320,0,0,0,0,,0,0,0,0,,14,3,11,0,,,,,,,,,,,,,
117011321,7513,1990,4849,674,,7919,1952,5469,498,,8814,2142,6165,507,,,,,,,,,,,,,
117011322,17932,9485,7072,1375,,18325,9354,7513,1458,,20603,10464,8484,1655,,,,,,,,,,,,,
117011323,10454,4717,5010,727,,10212,4409,5248,555,,10590,4701,5325,564,,,,,,,,,,,,,
117011324,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,
117011325,0,0,0,0,,0,0,0,0,,160,7,91,62,,,,,,,,,,,,,
117021326,25091,13127,9802,2162,,23848,11011,10933,1904,,24616,10619,12450,1547,,,,,,,,,,,,,
117021327,17276,4274,11606,1396,,17331,3723,11792,1816,,18801,4085,13209,1507,,,,,,,,,,,,,
117021328,6670,2477,3600,593,,6763,2106,3986,671,,7120,2050,4460,610,,,,,,,,,,,,,
117031329,10155,1138,5852,3165,,11296,1172,5348,4776,,11517,1948,7137,2432,,,,,,,,,,,,,
117031330,9101,1373,6951,777,,11637,1762,8637,1238,,13818,2510,10525,783,,,,,,,,,,,,,
117031331,14023,2474,9541,2008,,15743,2732,10138,2873,,17096,3496,11620,1980,,,,,,,,,,,,,
117031332,20373,3316,14712,2345,,21703,3284,14143,4276,,23184,3777,16305,3102,,,,,,,,,,,,,
117031333,20154,2520,11339,6295,,20883,2410,12225,6248,,20873,3189,12729,4955,,,,,,,,,,,,,
117031334,12706,3864,5674,3168,,18541,5318,6941,6282,,20359,7795,8448,4116,,,,,,,,,,,,,
117031335,15115,4000,8236,2879,,17142,4069,8501,4572,,17400,4678,9875,2847,,,,,,,,,,,,,
117031336,14982,2991,8331,3660,,15878,3123,8231,4524,,16010,3918,9518,2574,,,,,,,,,,,,,
117031337,29859,5918,7236,16705,,34940,8677,8183,18080,,39966,12504,11471,15991,,,,,,,,,,,,,
117031338,10785,4807,4920,1058,,16751,6586,7662,2503,,21552,8542,9857,3153,,,,,,,,,,,,,
118011339,17094,3221,11821,2052,,16871,2758,11022,3091,,18020,3074,12349,2597,,,,,,,,,,,,,
118011340,19297,3109,12925,3263,,19283,2561,11949,4773,,19750,3168,13730,2852,,,,,,,,,,,,,
118011341,15212,3171,10198,1843,,15751,3083,10059,2609,,16075,3406,10611,2058,,,,,,,,,,,,,
118011342,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,
118011343,22265,3025,16690,2550,,22450,3071,16532,2847,,24046,3346,17516,3184,,,,,,,,,,,,,
118011344,9735,2156,6593,986,,9785,2056,6624,1105,,10380,2243,7553,584,,,,,,,,,,,,,
118011345,13959,1564,10487,1908,,14003,1524,10688,1791,,14253,1666,10777,1810,,,,,,,,,,,,,
118011346,11296,1720,8388,1188,,11554,1606,8165,1783,,11773,1780,9093,900,,,,,,,,,,,,,
118011347,7510,666,5596,1248,,7381,697,5444,1240,,7265,810,5763,692,,,,,,,,,,,,,
118021348,23608,3206,17589,2813,,23631,3234,17239,3158,,24140,3713,17955,2472,,,,,,,,,,,,,
118021349,24616,11122,11020,2474,,24573,10494,11438,2641,,27849,12655,12415,2779,,,,,,,,,,,,,
118021350,19318,4450,12951,1917,,19276,4424,12285,2567,,21119,4968,13539,2612,,,,,,,,,,,,,
118021351,26794,9215,15544,2035,,27631,9247,15686,2698,,29535,10682,16304,2549,,,,,,,,,,,,,
118021352,27163,6113,18311,2739,,27063,5952,18489,2622,,28873,6665,19746,2462,,,,,,,,,,,,,
119011353,25507,17891,5328,2288,,27846,19575,5287,2984,,31322,22845,5381,3096,,,,,,,,,,,,,
119011354,19270,8126,10271,873,,19255,8814,9387,1054,,20194,10180,9007,1007,,,,,,,,,,,,,
119011355,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,
119011356,9012,4970,3577,465,,9427,5632,3104,691,,10245,6402,3153,690,,,,,,,,,,,,,
119011357,22278,13775,7141,1362,,22817,15125,6363,1329,,24437,16953,6204,1280,,,,,,,,,,,,,
119011358,14705,4000,10153,552,,14792,4617,9474,701,,15618,5567,9344,707,,,,,,,,,,,,,
119011359,23183,3573,18789,821,,23257,4312,18271,674,,24159,5357,17958,844,,,,,,,,,,,,,
119011360,12768,3547,8614,607,,13325,4472,8246,607,,14790,5694,8335,761,,,,,,,,,,,,,
119011361,16545,8495,6932,1118,,16872,9709,6083,1080,,18935,11850,5871,1214,,,,,,,,,,,,,
119021362,18179,11160,5545,1474,,17854,10951,5336,1567,,18591,11709,5691,1191,,,,,,,,,,,,,
119021363,24967,17733,5042,2192,,25270,17933,5115,2222,,27175,19816,5457,1902,,,,,,,,,,,,,
119021364,22391,12447,8471,1473,,21906,12024,8544,1338,,22482,12188,9463,831,,,,,,,,,,,,,
119021365,23291,16853,4108,2330,,23488,17223,3960,2305,,25368,19076,3850,2442,,,,,,,,,,,,,
119021366,17909,12449,4223,1237,,17964,12792,4041,1131,,19217,13813,3942,1462,,,,,,,,,,,,,
119021367,11214,5573,4882,759,,11484,6015,4634,835,,13091,7367,4832,892,,,,,,,,,,,,,
119031368,16646,9363,5661,1622,,18472,11827,5205,1440,,20500,14707,4754,1039,,,,,,,,,,,,,
119031369,20673,6413,13298,962,,21164,7141,12907,1116,,22255,8802,12628,825,,,,,,,,,,,,,
119031370,11536,5174,5455,907,,11851,6151,5099,601,,12816,6997,4888,931,,,,,,,,,,,,,
119031371,11296,2558,8437,301,,11316,2950,8031,335,,11874,3592,7894,388,,,,,,,,,,,,,
119031372,16682,3362,12715,605,,17072,4068,12284,720,,17275,4748,12008,519,,,,,,,,,,,,,
119031373,9092,4424,4000,668,,9151,4734,3643,774,,9495,5273,3364,858,,,,,,,,,,,,,
119031374,19987,7851,10983,1153,,21222,9919,10331,972,,22737,12001,9731,1005,,,,,,,,,,,,,
119041375,12171,6576,4837,758,,13856,7548,5240,1068,,15021,8332,5518,1171,,,,,,,,,,,,,
119041376,23126,11899,9757,1470,,24053,12982,9299,1772,,25113,14663,9145,1305,,,,,,,,,,,,,
119041377,11537,5861,5000,676,,11395,6042,4968,385,,11998,6504,4975,519,,,,,,,,,,,,,
119041378,8324,3748,3544,1032,,9770,4973,3623,1174,,10400,5966,3341,1093,,,,,,,,,,,,,
119041379,13759,6369,6381,1009,,14124,6990,5870,1264,,14991,8320,5892,779,,,,,,,,,,,,,
119041380,12679,5221,6251,1207,,12261,5390,5325,1546,,13407,6486,5827,1094,,,,,,,,,,,,,
119041381,15934,9173,5313,1448,,17561,10390,5551,1620,,18467,11440,5306,1721,,,,,,,,,,,,,
119041382,13766,3799,8915,1052,,13943,4484,8439,1020,,14697,5301,8683,713,,,,,,,,,,,,,
120011383,14953,5215,9029,709,,17413,6149,9989,1275,,19492,6961,11528,1003,,,,,,,,,,,,,
120011384,11232,3779,6752,701,,12956,4633,7247,1076,,18739,8889,7968,1882,,,,,,,,,,,,,
120011385,16798,3377,11903,1518,,16506,3583,11765,1158,,17330,4058,12209,1063,,,,,,,,,,,,,
120011386,16178,5186,10184,808,,17801,5359,10999,1443,,18971,6049,12062,860,,,,,,,,,,,,,
120021387,13893,1236,11599,1058,,13784,1248,11285,1251,,14710,1565,12174,971,,,,,,,,,,,,,
120021388,22800,4101,17155,1544,,22275,3715,16764,1796,,24208,4398,18434,1376,,,,,,,,,,,,,
120021389,12023,1755,9231,1037,,12641,1771,9633,1237,,13032,1891,10349,792,,,,,,,,,,,,,
120031390,21296,10073,9342,1881,,22146,10861,9062,2223,,23087,11911,9270,1906,,,,,,,,,,,,,
120031391,19094,9876,7662,1556,,20225,11110,7322,1793,,21315,12526,7387,1402,,,,,,,,,,,,,
120031392,9353,4585,4146,622,,9077,4184,4348,545,,9397,4124,4889,384,,,,,,,,,,,,,
120031393,15629,7304,7426,899,,15808,7381,7483,944,,16427,7703,7886,838,,,,,,,,,,,,,
120031394,15533,6710,7836,987,,15021,5322,8379,1320,,15872,5135,9468,1269,,,,,,,,,,,,,
120031395,13116,4694,7476,946,,12789,4139,7730,920,,13236,4031,8455,750,,,,,,,,,,,,,
120031396,7082,4341,2380,361,,10063,6255,2810,998,,12646,8310,2930,1406,,,,,,,,,,,,,
120031397,24087,12248,10045,1794,,26119,14414,9451,2254,,26318,15718,8570,2030,,,,,,,,,,,,,
121011398,19814,7022,11108,1684,,23684,9959,11252,2473,,24957,12076,10882,1999,,,,,,,,,,,,,
121011399,16246,4175,10988,1083,,16640,4705,10607,1328,,18262,6251,11030,981,,,,,,,,,,,,,
121011400,24134,3759,18892,1483,,23970,3859,18573,1538,,24532,4360,19154,1018,,,,,,,,,,,,,
121011401,6968,1617,4723,628,,8697,2225,5352,1120,,10088,3025,6164,899,,,,,,,,,,,,,
121011402,22705,5029,16444,1232,,23051,5047,17129,875,,24123,5318,17803,1002,,,,,,,,,,,,,
121021403,17515,2098,14831,586,,17273,2254,14641,378,,17434,2665,14406,363,,,,,,,,,,,,,
121021404,11039,630,10023,386,,10798,611,9794,393,,11226,802,10133,291,,,,,,,,,,,,,
121021405,23405,6099,15787,1519,,26808,8717,16465,1626,,29768,12226,15819,1723,,,,,,,,,,,,,
