"SA2_MAIN","SA2_NAME","variable","value"
102011028,"Avoca Beach - Copacabana","German",53
102011028,"Avoca Beach - Copacabana","Italian",29
102011028,"Avoca Beach - Copacabana","French",20
102011028,"Avoca Beach - Copacabana","Spanish",18
102011028,"Avoca Beach - Copacabana","Japanese",16
102011028,"Avoca Beach - Copacabana","Dutch",11
102011029,"Box Head - MacMasters Beach","Italian",48
102011029,"Box Head - MacMasters Beach","German",39
102011029,"Box Head - MacMasters Beach","Spanish",24
102011029,"Box Head - MacMasters Beach","French",20
102011029,"Box Head - MacMasters Beach","Greek",13
102011029,"Box Head - MacMasters Beach","Mandarin",11
102011030,"Calga - Kulnura","Greek",93
102011030,"Calga - Kulnura","Italian",72
102011030,"Calga - Kulnura","Maltese",40
102011030,"Calga - Kulnura","Arabic",18
102011030,"Calga - Kulnura","Cantonese",13
102011030,"Calga - Kulnura","German",10
102011031,"Erina - Green Point","Spanish",66
102011031,"Erina - Green Point","German",55
102011031,"Erina - Green Point","Cantonese",51
102011031,"Erina - Green Point","Mandarin",50
102011031,"Erina - Green Point","Italian",48
102011031,"Erina - Green Point","Dutch",35
102011032,"Gosford - Springfield","Mandarin",169
102011032,"Gosford - Springfield","Korean",113
102011032,"Gosford - Springfield","Cantonese",108
102011032,"Gosford - Springfield","Spanish",101
102011032,"Gosford - Springfield","German",58
102011032,"Gosford - Springfield","Italian",58
102011033,"Kariong","Arabic",39
102011033,"Kariong","Spanish",35
102011033,"Kariong","Italian",26
102011033,"Kariong","Greek",23
102011033,"Kariong","Cantonese",18
102011033,"Kariong","German",18
102011034,"Kincumber - Picketts Valley","Spanish",26
102011034,"Kincumber - Picketts Valley","Italian",15
102011034,"Kincumber - Picketts Valley","Cantonese",14
102011034,"Kincumber - Picketts Valley","Dutch",14
102011034,"Kincumber - Picketts Valley","Indonesian",10
102011034,"Kincumber - Picketts Valley","Filipino",9
102011035,"Narara","Spanish",39
102011035,"Narara","Cantonese",29
102011035,"Narara","Korean",25
102011035,"Narara","Mandarin",24
102011035,"Narara","Tagalog",21
102011035,"Narara","German",18
102011036,"Niagara Park - Lisarow","German",22
102011036,"Niagara Park - Lisarow","Italian",21
102011036,"Niagara Park - Lisarow","Greek",20
102011036,"Niagara Park - Lisarow","Spanish",19
102011036,"Niagara Park - Lisarow","Mandarin",18
102011036,"Niagara Park - Lisarow","Dutch",15
102011037,"Point Clare - Koolewong","German",39
102011037,"Point Clare - Koolewong","Cantonese",32
102011037,"Point Clare - Koolewong","Mandarin",31
102011037,"Point Clare - Koolewong","Italian",18
102011037,"Point Clare - Koolewong","Spanish",17
102011037,"Point Clare - Koolewong","Portuguese",16
102011038,"Saratoga - Davistown","German",21
102011038,"Saratoga - Davistown","Italian",20
102011038,"Saratoga - Davistown","Dutch",13
102011038,"Saratoga - Davistown","Maltese",10
102011038,"Saratoga - Davistown","Spanish",10
102011038,"Saratoga - Davistown","French",9
102011039,"Terrigal - North Avoca","Italian",76
102011039,"Terrigal - North Avoca","Spanish",58
102011039,"Terrigal - North Avoca","Greek",52
102011039,"Terrigal - North Avoca","German",41
102011039,"Terrigal - North Avoca","Dutch",38
102011039,"Terrigal - North Avoca","French",35
102011040,"Umina - Booker Bay - Patonga","Spanish",88
102011040,"Umina - Booker Bay - Patonga","German",83
102011040,"Umina - Booker Bay - Patonga","Italian",80
102011040,"Umina - Booker Bay - Patonga","Cantonese",59
102011040,"Umina - Booker Bay - Patonga","Greek",49
102011040,"Umina - Booker Bay - Patonga","Russian",40
102011041,"Wamberal - Forresters Beach","German",42
102011041,"Wamberal - Forresters Beach","Italian",35
102011041,"Wamberal - Forresters Beach","Spanish",32
102011041,"Wamberal - Forresters Beach","French",26
102011041,"Wamberal - Forresters Beach","Greek",23
102011041,"Wamberal - Forresters Beach","Arabic",19
102011042,"Woy Woy - Blackwall","Spanish",78
102011042,"Woy Woy - Blackwall","German",47
102011042,"Woy Woy - Blackwall","French",43
102011042,"Woy Woy - Blackwall","Mandarin",42
102011042,"Woy Woy - Blackwall","Cantonese",39
102011042,"Woy Woy - Blackwall","Greek",38
102011043,"Wyoming","German",44
102011043,"Wyoming","Italian",40
102011043,"Wyoming","Spanish",40
102011043,"Wyoming","Mandarin",33
102011043,"Wyoming","Tagalog",30
102011043,"Wyoming","Dutch",27
102021044,"Bateau Bay - Killarney Vale","Italian",79
102021044,"Bateau Bay - Killarney Vale","Greek",62
102021044,"Bateau Bay - Killarney Vale","Spanish",43
102021044,"Bateau Bay - Killarney Vale","Cantonese",38
102021044,"Bateau Bay - Killarney Vale","Dutch",35
102021044,"Bateau Bay - Killarney Vale","German",33
103011061,"Oberon","German",11
103011061,"Oberon","Italian",10
103011061,"Oberon","Russian",7
103011061,"Oberon","Greek",6
103011061,"Oberon","Punjabi",6
103011061,"Oberon","Khmer",6
103031070,"Lithgow","Cantonese",42
103031070,"Lithgow","German",27
103031070,"Lithgow","Italian",25
103031070,"Lithgow","Tagalog",22
103031070,"Lithgow","Arabic",20
103031070,"Lithgow","Dutch",20
103031071,"Lithgow Region","German",27
103031071,"Lithgow Region","Italian",26
103031071,"Lithgow Region","Spanish",17
103031071,"Lithgow Region","Croatian",16
103031071,"Lithgow Region","Dutch",8
103031071,"Lithgow Region","Hungarian",8
103031075,"Wollangambe - Wollemi","Arabic",0
103031075,"Wollangambe - Wollemi","Assyrian",0
103031075,"Wollangambe - Wollemi","Aboriginal",0
103031075,"Wollangambe - Wollemi","Cantonese",0
103031075,"Wollangambe - Wollemi","Mandarin",0
103031075,"Wollangambe - Wollemi","Other Chinese",0
107041147,"Helensburgh","Spanish",38
107041147,"Helensburgh","German",35
107041147,"Helensburgh","Italian",29
107041147,"Helensburgh","Dutch",22
107041147,"Helensburgh","Greek",15
107041147,"Helensburgh","Japanese",14
115011290,"Baulkham Hills (East)","Mandarin",1033
115011290,"Baulkham Hills (East)","Cantonese",796
115011290,"Baulkham Hills (East)","Korean",583
115011290,"Baulkham Hills (East)","Arabic",362
115011290,"Baulkham Hills (East)","Hindi",275
115011290,"Baulkham Hills (East)","Persian",241
115011291,"Baulkham Hills (West) - Bella Vista","Cantonese",787
115011291,"Baulkham Hills (West) - Bella Vista","Mandarin",626
115011291,"Baulkham Hills (West) - Bella Vista","Hindi",450
115011291,"Baulkham Hills (West) - Bella Vista","Tamil",412
115011291,"Baulkham Hills (West) - Bella Vista","Arabic",341
115011291,"Baulkham Hills (West) - Bella Vista","Korean",300
115011292,"Castle Hill","Mandarin",1123
115011292,"Castle Hill","Cantonese",983
115011292,"Castle Hill","Korean",750
115011292,"Castle Hill","Arabic",481
115011292,"Castle Hill","Persian",339
115011292,"Castle Hill","Italian",308
115011293,"Cherrybrook","Cantonese",1673
115011293,"Cherrybrook","Mandarin",1091
115011293,"Cherrybrook","Korean",560
115011293,"Cherrybrook","Hindi",520
115011293,"Cherrybrook","Sinhalese",468
115011293,"Cherrybrook","Tamil",377
115011294,"Glenhaven","Italian",81
115011294,"Glenhaven","Cantonese",63
115011294,"Glenhaven","Arabic",54
115011294,"Glenhaven","Persian",37
115011294,"Glenhaven","Spanish",36
115011294,"Glenhaven","Mandarin",35
115011295,"Kellyville","Cantonese",660
115011295,"Kellyville","Mandarin",512
115011295,"Kellyville","Arabic",484
115011295,"Kellyville","Hindi",407
115011295,"Kellyville","Italian",354
115011295,"Kellyville","Persian",346
115011296,"West Pennant Hills","Cantonese",1150
115011296,"West Pennant Hills","Mandarin",563
115011296,"West Pennant Hills","Korean",271
115011296,"West Pennant Hills","Hindi",236
115011296,"West Pennant Hills","Arabic",207
115011296,"West Pennant Hills","Sinhalese",172
115021297,"Dural - Kenthurst - Wisemans Ferry","Italian",589
115021297,"Dural - Kenthurst - Wisemans Ferry","Arabic",554
115021297,"Dural - Kenthurst - Wisemans Ferry","Cantonese",280
115021297,"Dural - Kenthurst - Wisemans Ferry","Mandarin",184
115021297,"Dural - Kenthurst - Wisemans Ferry","Spanish",98
