SA2_MAIN,SA2_NAME,totPop,engOnly,notStated,foreign,forPC,bucket
125011472,Auburn,33122,4455,2568,26099,0.854192577,6
119011353,Bankstown,30834,5222,2764,22848,0.813965087,6
125011474,Lidcombe - Regents Park,29985,6577,1635,21773,0.768007055,6
118021351,Maroubra,29592,16544,2293,10755,0.393970475,4
121021405,Hornsby - Waitara,29373,15836,1255,12282,0.436802049,5
128011528,Cronulla - Kurnell - Bundeena,29189,25553,1227,2409,0.086152636,2
127011507,Green Valley - Cecil Hills,28766,9713,985,18068,0.650372557,6
127031525,Liverpool - Warwick Farm,28586,7057,3101,18428,0.723092015,6
118021352,Randwick,27741,19279,1863,6599,0.255004251,3
128021532,Engadine - Loftus,27734,25905,558,1271,0.046769208,1
115011292,Castle Hill,27460,19202,758,7500,0.280877837,4
121041415,Mosman,27453,22096,1874,3483,0.136166386,2
118021349,Kensington - Kingsford,26876,12369,1835,12672,0.506050078,5
119021363,Canterbury (South) - Campsie,26818,5449,1597,19772,0.783949883,6
116011305,Blacktown (South),26615,14049,829,11737,0.455169472,5
126021502,Ryde - Putney,26142,14957,1001,10184,0.405075375,5
120031397,Strathfield,26002,8569,1654,15779,0.648061442,6
125041488,Girraween - Westmead,25815,9251,1633,14931,0.617442726,6
116021311,Quakers Hill - Acacia Gardens,25810,16443,689,8678,0.345448032,4
125031485,Merrylands - Holroyd,25785,9336,1752,14697,0.611534141,6
127031526,Prestons - Lurnea,25707,11152,1049,13506,0.547732987,5
128011527,Caringbah - Lilli Pilli,25616,22375,830,2411,0.097272654,2
124051471,St Marys - Colyton,25558,18209,1480,5869,0.243749481,3
119021365,Lakemba - Wiley Park,25207,3803,2240,19164,0.834414595,6
119041376,Bexley,25118,9228,1180,14710,0.614504136,6
125021476,Carlingford,24620,12168,808,11644,0.488997144,5
117021326,Marrickville,24613,12540,1410,10663,0.459552644,5
120021388,Leichhardt - Annandale,24434,18736,1243,4455,0.192100384,3
115011293,Cherrybrook,24359,15619,548,8192,0.344042669,4
121011398,Chatswood (East) - Artarmon,24341,10912,1350,12079,0.525379496,5
121011402,Willoughby - Castle Cove - Northbridge,24322,18087,865,5370,0.228929531,3
119011357,Greenacre - Mount Lewis,24312,6182,1164,16966,0.732935891,6
119011359,Panania - Milperra - Picnic Point,24215,18062,796,5357,0.22874589,3
121011400,Lane Cove - Greenwich,24149,19019,774,4356,0.186352941,3
122031428,Frenchs Forest - Belrose,24082,20254,519,3309,0.140432033,2
123011435,Mount Annan - Currans Hill,24024,20946,681,2397,0.10268603,2
116011307,Lalor Park - Kings Langley,23969,17659,750,5560,0.239459064,3
118011343,Double Bay - Bellevue Hill,23930,17686,2892,3352,0.159330735,2
115011295,Kellyville,23761,16395,537,6829,0.294049259,4
118021348,Coogee - Clovelly,23671,18134,1831,3706,0.169688645,3
126011495,Epping - North Epping,23583,12670,571,10342,0.449417695,5
125031482,Greystanes - Pemulwuy,23465,14366,768,8331,0.367052914,4
127021511,Cabramatta - Lansvale,23365,3304,1348,18713,0.849934142,6
126021497,Eastwood - Denistone,23000,10812,887,11301,0.511056844,5
120031390,Ashfield,22774,9222,1616,11936,0.564136497,5
117031337,Sydney - Haymarket - The Rocks,22759,6426,4363,11970,0.650684932,6
122031426,Dee Why - North Curl Curl,22757,15880,1102,5775,0.26668206,4
125041492,Parramatta - Rosehill,22701,5122,2355,15224,0.748255185,6
122031431,Narrabeen - Collaroy,22691,19068,1385,2238,0.105040834,2
119031374,South Hurstville - Blakehurst,22603,9818,761,12024,0.550499039,5
102011040,Umina - Booker Bay - Patonga,22534,20276,1315,943,0.044441303,1
119021364,Kingsgrove (North) - Earlwood,22521,9506,783,12232,0.56270126,5
116011308,Seven Hills - Toongabbie,22510,12604,851,9055,0.41807101,5
116021310,Parklea - Kellyville Ridge,22404,13102,1221,8081,0.381485153,4
119031369,Mortdale - Penshurst,22272,12756,710,8806,0.408403673,5
122021423,Warriewood - Mona Vale,21847,18957,797,2093,0.099429929,2
124011454,Springwood - Winmalee,21772,20451,387,934,0.043675473,1
116031317,Mount Druitt - Whalan,21719,10023,1240,10456,0.510571805,5
117031332,Newtown - Camperdown - Darlington,21519,15915,1894,3710,0.189044586,3
115031300,Kurrajong Heights - Ebenezer,21437,19587,1000,850,0.041591232,1
102021044,Bateau Bay - Killarney Vale,21379,20102,609,668,0.032161772,1
115011290,Baulkham Hills (East),21348,14769,494,6085,0.291790544,4
121031408,Lindfield - Roseville,21173,15762,838,4573,0.224883206,3
118021350,Malabar - La Perouse - Chifley,21113,13592,2489,5032,0.270189003,4
117031338,Waterloo - Beaconsfield,21091,9897,2679,8515,0.462470128,5
128021535,Menai - Lucas Heights - Woronora,21057,17891,489,2677,0.130153637,2
120031391,Burwood - Croydon,21014,7350,1074,12590,0.631394183,6
123021438,Claymore - Eagle Vale - Raby,21013,15399,1285,4329,0.219434307,3
123021442,Macquarie Fields - Glenfield,20932,11872,1208,7852,0.398093693,4
124031460,Glenmore Park - Regentville,20888,17669,508,2711,0.133022571,2
125041493,Toongabbie - Constitution Hill,20709,12516,718,7475,0.373918263,4
128021536,Oyster Bay - Como - Jannali,20632,17984,602,2046,0.10214678,2
122011419,Manly - Fairlight,20564,16335,1603,2626,0.138494805,2
125041489,North Parramatta,20272,8508,1804,9960,0.539311241,5
115021297,Dural - Kenthurst - Wisemans Ferry,20241,16557,554,3130,0.158988165,2
123021444,Rosemeadow - Glen Alpine,20160,14742,1195,4223,0.222673346,3
119031368,Hurstville,20150,4729,713,14708,0.756701137,6
119011354,Bass Hill - Georges Hall,20071,9000,907,10164,0.530369443,5
117011322,Mascot - Eastlakes,19866,8178,1230,10458,0.561171925,5
124051470,St Clair,19838,15067,581,4190,0.217583216,3
116031319,Rooty Hill - Minchinbury,19626,10501,845,8280,0.440871093,5
