"id","tot01Cln","tot06Cln","tot11Cln","totChange.06","engChange.06","forChange.06","totChange.11","engChange.11","forChange.11","relevant"
102011028,6565,6289,6539,-4.2,-4.87,0.67,-0.4,-1.78,1.39,0
102011029,9191,9495,9673,3.31,3.17,0.14,5.24,4.4,0.85,0
102011030,3871,3537,4080,-8.63,-9.45,0.83,5.4,4.52,0.88,0
102011031,11530,12357,12902,7.17,6.46,0.71,11.9,9.48,2.42,0
102011032,15637,15207,16699,-2.75,-3.52,0.77,6.79,2.3,4.5,0
102011033,6376,6183,6281,-3.03,-2.45,-0.58,-1.49,-1.8,0.31,0
102011034,6606,6828,6751,3.36,2.94,0.42,2.19,1.36,0.83,0
102011035,6970,6682,6234,-4.13,-4.61,0.47,-10.56,-11.43,0.88,0
102011036,6157,6561,7628,6.56,6.2,0.36,23.89,22.54,1.35,0
102011037,5251,5702,5799,8.59,7.03,1.56,10.44,7.98,2.46,0
102011038,5970,5906,6248,-1.07,-1.41,0.34,4.66,3.47,1.19,0
102011039,11165,11246,11725,0.73,0.29,0.44,5.02,3.47,1.55,0
102011040,20079,19176,20900,-4.5,-4.69,0.19,4.09,2.47,1.62,0
102011041,8644,8498,8571,-1.69,-1.76,0.07,-0.84,-1.4,0.56,0
102011042,12137,11843,12501,-2.42,-2.98,0.56,3,0.63,2.37,0
102011043,11765,11009,10653,-6.43,-7.27,0.84,-9.45,-11.02,1.56,0
102021044,19775,19796,20423,0.11,0,0.11,3.28,2.82,0.46,0
103011061,4058,4463,4303,9.98,8.7,1.28,6.04,3.75,2.29,0
103031070,11386,11221,11214,-1.45,-1.21,-0.24,-1.51,-2.25,0.74,0
103031071,6764,7006,7362,3.58,2.93,0.65,8.84,8.18,0.67,0
103031075,0,0,0,0,0,0,0,0,0,1
107041147,7662,7811,8104,1.94,2.22,-0.27,5.77,5.27,0.5,0
115011290,18283,19234,20729,5.2,0.21,4.99,13.38,0.28,13.09,0
115011291,15727,17369,18253,10.44,3.2,7.24,16.06,1.7,14.36,0
115011292,23192,24190,26491,4.3,-1.13,5.43,14.22,-0.54,14.77,0
115011293,23042,23903,23536,3.74,0.28,3.45,2.14,-4.15,6.3,0
115011294,5542,5457,5569,-1.53,-1.82,0.29,0.49,-0.16,0.65,0
115011295,11343,19046,23086,67.91,42.75,25.16,103.53,62.27,41.26,0
115011296,12181,12192,12030,0.09,-3,3.09,-1.24,-7.45,6.21,0
115021297,18617,18827,19492,1.13,1.48,-0.35,4.7,2.97,1.73,0
115021298,5013,4598,4887,-8.28,-7.02,-1.26,-2.51,-1.76,-0.76,0
115031299,2229,2229,2350,0,1.7,-1.7,5.43,5.02,0.4,0
115031300,19488,20173,19992,3.51,3.02,0.49,2.59,2.49,0.1,0
115041301,8284,8258,8661,-0.31,0.17,-0.48,4.55,3.92,0.63,0
115041302,9018,16239,17373,80.07,57,23.08,92.65,64.27,28.38,0
116011303,11788,12095,14796,2.6,-5.58,8.19,25.52,-1.48,27,0
116011304,15424,15168,16037,-1.66,-4.55,2.89,3.97,-6.08,10.06,0
116011305,22558,23171,25674,2.72,-3.33,6.05,13.81,-3.21,17.03,0
116011306,17744,17551,18670,-1.09,-3.58,2.49,5.22,-4.51,9.73,0
116011307,23369,22325,23114,-4.47,-5.43,0.97,-1.09,-5.66,4.57,0
116011308,20906,20923,21485,0.08,-3.37,3.45,2.77,-7.76,10.53,0
116021309,8889,13400,14931,50.75,26.26,24.49,67.97,26.89,41.08,0
116021310,3646,9495,21077,160.42,92.76,67.66,478.09,275.37,202.72,0
116021311,19925,23376,25061,17.32,8.27,9.05,25.78,6.77,19.01,0
116021312,10652,10138,10615,-4.83,-3.47,-1.35,-0.35,0.7,-1.05,0
116031313,17688,16882,17457,-4.56,-4.94,0.38,-1.31,-3.74,2.44,0
116031314,7622,7608,7840,-0.18,-0.87,0.68,2.86,0.73,2.13,0
116031315,16678,18046,18752,8.2,1.83,6.37,12.44,1.21,11.23,0
116031316,13844,13474,14871,-2.67,-4.3,1.63,7.42,2.87,4.54,0
116031317,16198,17356,20447,7.15,-1.52,8.67,26.23,1.29,24.94,0
116031318,0,0,85,0,0,0,0,0,0,1
116031319,15910,17230,18756,8.3,2.28,6.02,17.89,3.37,14.52,0
117011320,0,0,14,0,0,0,0,0,0,1
117011321,6839,7421,8307,8.51,9.07,-0.56,21.47,19.24,2.22,0
117011322,16557,16867,18948,1.87,2.66,-0.79,14.44,8.53,5.91,0
117011323,9727,9657,10026,-0.72,2.45,-3.17,3.07,3.24,-0.16,0
117011324,0,0,0,0,0,0,0,0,0,1
117011325,0,0,98,0,0,0,0,0,0,1
117021326,22929,21944,23069,-4.3,4.93,-9.23,0.61,11.55,-10.94,0
117021327,15880,15515,17294,-2.3,1.17,-3.47,8.9,10.09,-1.19,0
117021328,6077,6092,6510,0.25,6.35,-6.1,7.13,14.15,-7.03,0
117031329,6990,6520,9085,-6.72,-7.21,0.49,29.97,18.38,11.59,0
117031330,8324,10399,13035,24.93,20.25,4.67,56.6,42.94,13.66,0
117031331,12015,12870,15116,7.12,4.97,2.15,25.81,17.3,8.51,0
117031332,18028,17427,20082,-3.33,-3.16,-0.18,11.39,8.84,2.56,0
117031333,13859,14635,15918,5.6,6.39,-0.79,14.86,10.03,4.83,0
117031334,9538,12259,16243,28.53,13.28,15.24,70.3,29.08,41.21,0
117031335,12236,12570,14553,2.73,2.17,0.56,18.94,13.39,5.54,0
117031336,11322,11354,13436,0.28,-0.88,1.17,18.67,10.48,8.19,0
117031337,13154,16860,23975,28.17,7.2,20.97,82.26,32.2,50.07,0
117031338,9727,14248,18399,46.48,28.19,18.29,89.15,50.76,38.4,0
118011339,15042,13780,15423,-8.39,-5.31,-3.08,2.53,3.51,-0.98,0
118011340,16034,14510,16898,-9.5,-6.09,-3.42,5.39,5.02,0.37,0
118011341,13369,13142,14017,-1.7,-1.04,-0.66,4.85,3.09,1.76,0
118011342,0,0,0,0,0,0,0,0,0,1
118011343,19715,19603,20862,-0.57,-0.8,0.23,5.82,4.19,1.63,0
118011344,8749,8680,9796,-0.79,0.35,-1.14,11.97,10.97,0.99,0
118011345,12051,12212,12443,1.34,1.67,-0.33,3.25,2.41,0.85,0
118011346,10108,9771,10873,-3.33,-2.21,-1.13,7.57,6.97,0.59,0
118011347,6262,6141,6573,-1.93,-2.43,0.5,4.97,2.67,2.3,0
118021348,20795,20473,21668,-1.55,-1.68,0.13,4.2,1.76,2.44,0
118021349,22142,21932,25070,-0.95,1.89,-2.84,13.22,6.3,6.92,0
118021350,17401,16709,18507,-3.98,-3.83,-0.15,6.36,3.38,2.98,0
118021351,24759,24933,26986,0.7,0.57,0.13,8.99,3.07,5.93,0
118021352,24424,24441,26411,0.07,0.73,-0.66,8.14,5.88,2.26,0
119011353,23219,24862,28226,7.08,-0.18,7.25,21.56,0.23,21.34,0
119011354,18397,18201,19187,-1.07,-4.81,3.74,4.29,-6.87,11.16,0
119011355,0,0,0,0,0,0,0,0,0,1
119011356,8547,8736,9555,2.21,-5.53,7.75,11.79,-4.96,16.75,0
119011357,20916,21488,23157,2.73,-3.72,6.45,10.71,-4.48,15.19,0
119011358,14153,14091,14911,-0.44,-4.8,4.36,5.36,-5.72,11.07,0
119011359,22362,22583,23315,0.99,-2.32,3.3,4.26,-3.72,7.98,0
119011360,12161,12718,14029,4.58,-3.03,7.61,15.36,-2.29,17.65,0
119011361,15427,15792,17721,2.37,-5.5,7.87,14.87,-6.88,21.75,0
119021362,16705,16287,17400,-2.5,-1.25,-1.25,4.16,0.87,3.29,0
119021363,22775,23048,25273,1.2,0.32,0.88,10.97,1.82,9.15,0
119021364,20918,20568,21651,-1.67,0.35,-2.02,3.5,4.74,-1.24,0
119021365,20961,21183,22926,1.06,-0.71,1.77,9.37,-1.23,10.61,0
119021366,16672,16833,17755,0.97,-1.09,2.06,6.5,-1.69,8.18,0
119021367,10455,10649,12199,1.86,-2.37,4.23,16.68,-0.48,17.16,0
119031368,15024,17032,19461,13.37,-3.04,16.4,29.53,-6.04,35.57,0
119031369,19711,20048,21430,1.71,-1.98,3.69,8.72,-3.4,12.12,0
119031370,10629,11250,11885,5.84,-3.35,9.19,11.82,-5.33,17.15,0
119031371,10995,10981,11486,-0.13,-3.69,3.57,4.47,-4.94,9.4,0
119031372,16077,16352,16756,1.71,-2.68,4.39,4.22,-4.4,8.62,0
119031373,8424,8377,8637,-0.56,-4.24,3.68,2.53,-7.55,10.08,0
119031374,18834,20250,21732,7.52,-3.46,10.98,15.39,-6.65,22.03,0
119041375,11413,12788,13850,12.05,3.53,8.52,21.35,5.97,15.39,0
119041376,21656,22281,23808,2.89,-2.11,5,9.94,-2.83,12.76,0
119041377,10861,11010,11479,1.37,-0.29,1.67,5.69,-0.23,5.92,0
119041378,7292,8596,9307,17.88,1.08,16.8,27.63,-2.78,30.42,0
119041379,12750,12860,14212,0.86,-4.01,4.87,11.47,-3.84,15.3,0
119041380,11472,10715,12313,-6.6,-8.07,1.47,7.33,-3.7,11.03,0
119041381,14486,15941,16746,10.04,1.64,8.4,15.6,-0.05,15.65,0
119041382,12714,12923,13984,1.64,-3.74,5.39,9.99,-1.82,11.81,0
120011383,14244,16138,18489,13.3,6.74,6.56,29.8,17.54,12.26,0
120011384,10531,11880,16857,12.81,4.7,8.11,60.07,11.55,48.52,0
120011385,15280,15348,16267,0.45,-0.9,1.35,6.46,2,4.46,0
120011386,15370,16358,18111,6.43,5.3,1.13,17.83,12.22,5.61,0
120021387,12835,12533,13739,-2.35,-2.45,0.09,7.04,4.48,2.56,0
